NomGen;Descrip;Imagen;Visitas
"Acid Rock";;;0
Acoustic;;;0
"Alternative Metal";;;0
"Arena Rock";;;0
"Art Rock";;;0
Atmospheric;;;0
Avant-Garde;;;0
"Black Metal";;;0
Black-Gaze;;;0
Blues;;;0
"Brutal Death Metal";;;0
Cello;;;0
"Celtic Metal";;;0
"Christian Metal";;;0
"Classical Music";;;0
Comedy;;;0
"Crossover Thrash Metal";;;0
"Dark Ambient";;;0
"Death Metal";;;0
Deathcore;;;0
Disco;;;0
Djent;;;0
"Doom Metal";;;0
Dubstep;;;0
Electro;;;0
Electronic;;;0
"Electronic Rock";;;0
"Epic Metal";;;0
Experimental;;;0
"Experimental Rock";;;0
"Extreme Metal";;;0
"Folk Metal";;;0
"Folk Rock";;;0
Funk;;;0
"Glam Metal";;;0
"Glam Rock";;;0
Goregrind;;;0
"Gothic Metal";;;0
Grindcore;;;0
"Groove Metal";;;0
Grunge;;;0
"Hard Rock";;;0
Hardcore;;;0
"Hardcore Punk";;;0
"Heavy Metal";;;0
"Industrial Metal";;;0
Instrumental;;;0
"Jazz Fusion";;;0
"Love Metal";;;0
Mathcore;;;0
"Melodic Black Metal";;;0
"Melodic Death Metal";;;0
"Melodic Metalcore";;;0
Metalcore;;;0
NDH;;;0
"Neoclassical Metal";;;0
"New Wave";;;0
"Nu Metal";;;0
NWOBHM;;;0
"Occult Rock";;;0
"Pagan Metal";;;0
"Pirate Metal";;;0
Pop;;;0
"Pop Rock";;;0
"Post-Black Metal";;;0
Post-Grunge;;;0
Post-Hardcore;;;0
Post-Metal;;;0
Post-Punk;;;0
Post-Rock;;;0
"Power Metal";;;0
"Primera Ola de Black Metal";;;0
"Primera Ola de Glam Metal";;;0
"Primera Ola de Power Metal";;;0
"Progressive Metal";;;0
"Progressive Rock";;;0
Proto-Metal;;;0
"Proto-Power Metal";;;0
"Psychedelic Rock";;;0
Punk;;;0
"Punk Rock";;;0
Rap;;;0
Rapcore;;;0
Reggae;;;0
Rock;;;0
"Rock & Roll";;;0
"Segunda Ola de Black Metal";;;0
"Segunda Ola de Glam Metal";;;0
"Segunda Ola de Power Metal";;;0
"Shock Rock";;;0
Shoegaze;;;0
"Skate Punk";;;0
"Sleaze Rock";;;0
"Sludge Metal";;;0
"Southern Metal";;;0
"Speed Metal";;;0
"Stoner Metal";;;0
"Symphonic Metal";;;0
"Synth Rock";;;0
"Technical Death Metal";;;0
"Thrash Metal";;;0
"Viking Metal";;;0
